DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,OP,100,100,19968,"00 min, 19 sec"
LINE,0.9637387329218212,jsoup-1_6_1-1-CharacterReader-19,MINUS,15,10,11154,"00 min, 11 sec"
LINE,0.7593360995850622,jsoup-1_6_1-1-CharacterReader-19,MCCON,9,4,11154,"00 min, 11 sec"
LINE,1.0,jsoup-1_6_1-1-CharacterReader-19,OP,6,1,11154,"00 min, 11 sec"
LINE,0.7440876275827732,jsoup-1_6_1-1-CharacterReader-19,WONG3,10,5,11154,"00 min, 11 sec"
LINE,0.03734439834024896,jsoup-1_6_1-1-CharacterReader-19,JACCARD,76,71,11154,"00 min, 11 sec"
LINE,0.19324698792024925,jsoup-1_6_1-1-CharacterReader-19,OCHIAI,40,35,11154,"00 min, 11 sec"
DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,TARANTULA,100,100,19968,"00 min, 19 sec"
LINE,0.03734439834024896,jsoup-1_6_1-1-CharacterReader-19,ZOLTAR,9,4,11154,"00 min, 11 sec"
LINE,0.5483870967741935,jsoup-1_6_1-1-CharacterReader-19,TARANTULA,76,71,11154,"00 min, 11 sec"
DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,DRT,100,100,19968,"00 min, 19 sec"
DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,ZOLTAR,100,100,19968,"00 min, 19 sec"
DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,OCHIAI,100,100,19968,"00 min, 19 sec"
DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,KULCZYNSKI2,100,100,19968,"00 min, 19 sec"
DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,JACCARD,100,100,19968,"00 min, 19 sec"
DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,MINUS,100,100,19968,"00 min, 19 sec"
DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,MCCON,100,100,19968,"00 min, 19 sec"
LINE,1.0,jsoup-1_6_1-1-CharacterReader-19,DRT,6,1,11154,"00 min, 11 sec"
DUA,0.0,jsoup-1_6_1-1-CharacterReader-19,WONG3,100,100,19968,"00 min, 19 sec"
LINE,0.7593360995850622,jsoup-1_6_1-1-CharacterReader-19,KULCZYNSKI2,9,4,11154,"00 min, 11 sec"
